ccode,year,cap,majpow,imports,exports,polity
 100,1838,0.001476,0,-9,-9,   2
 140,1838,0.008504,0,-9,-9,  -6
 200,1838,0.303916,1,-9,-9,   3
 210,1838,0.015278,0,-9,-9,  -6
 211,1838,0.031492,0,-9,-9,  -4
 220,1838,0.136514,1,-9,-9,  -1
 225,1838,0.001540,0,-9,-9, -99
 230,1838,0.030188,0,-9,-9,  -1
 235,1838,0.012985,0,-9,-9,   1
 240,1838,0.004113,0,-9,-9, -99
 245,1838,0.006244,0,-9,-9,  -9
 255,1838,0.056689,1,-9,-9, -10
 267,1838,0.002229,0,-9,-9,  -7
 269,1838,0.003924,0,-9,-9,  -7
 271,1838,0.003171,0,-9,-9,  -4
 273,1838,0.001615,0,-9,-9, -99
 275,1838,0.002447,0,-9,-9, -99
 300,1838,0.082676,1,-9,-9, -10
 325,1838,0.013391,0,-9,-9, -10
 327,1838,0.008118,0,-9,-9,  -9
 329,1838,0.024058,0,-9,-9, -10
 337,1838,0.001878,0,-9,-9, -10
 350,1838,0.001684,0,-9,-9,  -3
 365,1838,0.137254,1,-9,-9, -10
 380,1838,0.014331,0,-9,-9,  -8
 390,1838,0.007333,0,-9,-9,  -9
 616,1838,0.003464,0,-9,-9, -99
 640,1838,0.053215,0,-9,-9, -10
   2,1839,0.050801,0,-9,-9,   9
  70,1839,0.009478,0,-9,-9,  -3
 100,1839,0.001724,0,-9,-9,   2
 135,1839,0.001426,0,-9,-9,  -1
 140,1839,0.008795,0,-9,-9,  -6
 155,1839,0.000918,0,-9,-9,  -5
 200,1839,0.309370,1,-9,-9,   3
 210,1839,0.014670,0,-9,-9,  -6
 211,1839,0.029771,0,-9,-9,  -4
 220,1839,0.132869,1,-9,-9,  -1
 225,1839,0.001527,0,-9,-9, -99
 230,1839,0.030361,0,-9,-9,  -1
 235,1839,0.012141,0,-9,-9,   1
 240,1839,0.003929,0,-9,-9, -99
 245,1839,0.006076,0,-9,-9,  -9
 255,1839,0.052774,1,-9,-9, -10
 267,1839,0.003063,0,-9,-9,  -7
 269,1839,0.003688,0,-9,-9,  -7
 271,1839,0.003029,0,-9,-9,  -4
 273,1839,0.001483,0,-9,-9, -99
